Auteurs;Titre;Sous-titre;Revue;Editeur;Année;Volume;Numéro;Pages;DOI;PMID;pdf1;pdf2;pdf3;pdf4;pdf5;reprint
R. Slama, B. Jégou, S. Cordier, ;[Breakthroughs in the study of the influence of environmental factors on male reproductive health];;Epidemiology and Public Health / Revue d'Epidémiologie et de Santé Publique;Elsevier Masson;2006;54;;167-74;;Pubmed : 16830971;;;;;;;
C. Staub, M. Rauch, F. Ferrière, M. Trépos, I. Dorval-Coiffec, P. T. Saunders, G. Cobellis, G. Flouriot, C. Saligaut, B. Jégou, ;Expression of estrogen receptor ESR1 and its 46-kDa variant in the gubernaculum testis.;;Biology of Reproduction;Society for the Study of Reproduction;2005;73;4;703-12;DOI : https://doi.org/10.1095/biolreprod.105.042796;Pubmed : 15944240;;;;;;;
G. Pinon-Lataillade, Mc Viguier-Martinez, Am Touzalin, J. Maas, B. Jégou, ;Effect of an acute exposure of rat testes to gamma rays on germ cells and on Sertoli and Leydig cell functions;;Reproduction Nutrition Development;EDP Sciences;1991;31;6;617-629;;;;<a href='https://hal.archives-ouvertes.fr/hal-00899478/file/hal-00899478.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
F. Pakdel, O. Kah, B. Jégou, ;Mechanisms of action of particular endocrine-disrupting chemicals;;;;2009;;;541-567;;;;;;;;;
F. Pakdel, O. Kah, B. Jégou, ;Mechanisms of action of endocrine disrupting chemicals;;;;2009;;;pp. 541-567;;;;;;;;;
L. Multigner, S. Cordier, B. Jégou, ;Effets adverses des produits sanitaires sur la santé humaine;;;;2005;;;243-59;;;;;;;;;
C. Deleage, H. Denis, N. Rioux-Leclercq, A. Ruffault, B. Jégou, N. Dejucq-Rainsford, ;Origins of HIV in semen : study of the infection of the seminal vesicles;;;;2010;;;;;;;;;;;;
B. Jégou, ;Reproduction et Perturbateurs hormonaux;;;;2010;;;;;;;;;;;;
B. Jégou, ;Fetal gonadal assay;;;;2010;;;;;;;;;;;;
B. Jégou, ;Perturbateurs endocriniens et troubles de développement chez l'enfant;;;;2010;;;;;;;;;;;;
B. Jégou, ;Conférence introductive sur le phénomène de la Perturbation endocrinienne, l'historique de la question dans le monde et en France;;;;2010;;;;;;;;;;;;
B. Jégou, ;La reproduction;;;;2010;;;;;;;;;;;;
M. Moreau, A. Le Tortorec, H. Denis, C. Deleage, A.-P. Satie, O. Bourry, P. Roques, B. Jégou, R. Le Grand, N. Dejucq-Rainsford, ;Impact of short term HAART initiated during the acute or chronic stage on SIV infection of the male genital tract;;Retrovirology;BioMed Central;2010;7;Suppl 1;P11;DOI : https://doi.org/10.1186/1742-4690-7-S1-P11;;;<a href='http://www.hal.inserm.fr/inserm-00663748/file/1742-4690-7-S1-P11.pdf'><img alt='PDF' src='https://ecobio.univ-rennes1.fr/PDF_icon.gif' height='13px' border='0'  title='PDF' /></a>;;;;;
M. Moreau, A. Le Tortorec, H. Denis, C. Deleage, A.-P. Satie, O. Bourry, P. Roques, B. Jégou, R. Le Grand, N. Dejucq-Rainsford, ;Impact of short term HAART on SIV infection of the male genital tract;;;;2010;;;;;;;;;;;;
P. Calvel, C. Kervarrec, R. Lavigne, V. Vallet-Erdtmann, M. Guerrois, A. Rolland, F. Chalmel, C. Garnier, A. Nazabal, B. Jégou, C. Pineau, ;Characterization of CLPH, a new calcium-binding phosphoprotein specific to the mammalian testis.;;;;2009;;;;;;;;;;;;
C. Desdoits, L. Lesné, E. Perdu, D. Zalko, B. Le Bizec, F. Guille, N. Dejucq-Rainsford, B. Jégou, ;Direct evidence that phtalate esters inhibit human testosterone production;;;;2009;;;;;;;;;;;;
B. Jégou, ;Reproduction humaine et perturbateurs endocriniens;;;;2009;;;;;;;;;;;;
B. Jégou, ;Spermatogenesis;;;;2009;;;;;;;;;;;;
P. Calvel, C. Kervarrec, M. Guerrois, B. Jégou, C. Pineau, ;RSD-6 is a new disordered protein of the testis;;;;2008;;;;;;;;;;;;
P. Calvel, V. Vallet-Erdtmann, C. Kervarrec, M. Guerrois, A. Rolland, B. Jégou, C. Pineau, ;Characterization of RSD-6, a new testis specific protein associated with the post-meiotic phase of mammalian spermatogenesis.;;;;2008;;;;;;;;;;;;
R. Lavigne, B. Jégou, C. Pineau, ;In situ protein profiling of the rat efferent ducts by MALDI imaging mass spectrometry;;;;2008;;;;;;;;;;;;
A. Le Tortorec, A.-P. Satie, H. Denis, L. Harvard, N. Rioux-Leclerq, A. Ruffault, B. Jégou, N. Dejucq-Rainsford, ;Susceptibility of human Prostate to HIV-1 infection;;;;2008;;;;;;;;;;;;
A. Rolland, C. Pineau, B. Jégou, ;Les nouveaux outils d'analyse de la spermatogenèse.;;;;2008;;;;;;;;;;;;
A. Rolland, F. Chalmel, P. Calvel, I. Dorval-Coiffec, B. Jégou, ;Residual bodies are regulators of Sertoli cell function;;;;2008;;;;;;;;;;;;
M. Trépos-Pouplard, R. Lavigne, C. Staub, N. Guitton, I. Dorval-Coiffec, Y. Le Page, C. Pineau, B. Jégou, ;Profil protéomique des canaux efférents : identification de protéines potentiellement régulées par les stéroïdes sexuels, androgènes et œstrogènes.;;;;2008;10;5;pp. 354-5;DOI : https://doi.org/10.1684/mte.2008.0180;;;;;;;;
F. Chalmel, A. Rolland, C. Niederhauser-Wiederkehr, P. Demougin, S. Chung, C. Pineau, D. J. Wolgemuth, B. Jégou, M. Primig, ;Expression profiling of the human male germline reveals novel potential cancer/testis genes.;;;;2006;;;;;;;;;;;;
M. Couvet, N. Guitton, A. Rolland, B. Evrard, R. Lavigne, B. Jégou, C. Pineau, ;Progress in the proteome analysis of spermatogonia: a new dataset of proteins identified by mass spectrometry;;;;2006;;;;;;;;;;;;
B. Evrard, A. Rolland, N. Guitton, R. Lavigne, P. Calvel, B. Jégou, C. Pineau, ;2D-DIGE analysis of spermatogenesis in the rat;;;;2006;;;;;;;;;;;;
A. Le Tortorec, H. Denis, A.-P. Satie, R. Legrand, B. Jégou, N. Dejucq-Rainsford, ;SIV infection of the genital tract of asymptomatic and primary-infected male macaques;;;;2006;;;;;;;;;;;;
A. Rolland, F. Chalmel, B. Evrard, N. Guitton, R. Lavigne, B. Jégou, M. Primig, C. Pineau, ;Transcriptomics and Proteomics analyses of male germ-cell differentiation in the rat;;;;2006;;;;;;;;;;;;
A. Rolland, F. Chalmel, C. Niederhauser-Wiederkehr, P. Demougin, S. Chung, C. Pineau, D. J. Wolgemuth, B. Jégou, M. Primig, ;The Core Meiotic Transcriptome in Mammals;;;;2006;;;;;;;;;;;;
V. Roulet, H. Denis, O. Guist'Hau, A. Le Tortorec, J. Gicquel, J.-J. Patard, A. Ruffault, B. Jégou, N. Dejucq-Rainsford, ;The testis as an HIV reservoir: identification of potential target cells and infectivity;;;;2006;;;;;;;;;;;;
M. Trépos-Pouplard, C. Staub, N. Guitton, Y. Le Page, I. Dorval-Coiffec, C. Pineau, B. Jégou, ;Proteomic Analysis of Efferent Ducts: Identification of Potential Biomarkers and Targets of Endocrine Disruptors;;;;2006;;;;;;;;;;;;
M. Trépos-Pouplard, C. Staub, N. Guitton, Y. Le Page, I. Dorval-Coiffec, C. Pineau, B. Jégou, ;Proteomic profiling of adult rat efferent ducts: identification of potentially estrogen and androgen regulated proteins;;;;2006;;;;;;;;;;;;
M. Frenea-Robin, M. Chiral, B. Le Pioufle, N. Melaine, C. Pineau, B. Jégou, ;On-chip spermatozoa trapping by dielectrophoresis;;;;2004;1;296;111-113;;;;;;;;;
D. Schausi, V. Vallet-Erdtmann, C. Tiffoche, G. Tilly, M. Guerrois, B. Jégou, M.-L. Thieulant, ;Regulation of an intronic promoter of rat estrogen receptor alpha gene. Targeting of promoter to the pituitary in transgenic mice;;;;2003;;;;;;;;;;;;
B. Jégou, P. Jouannet, A. Spira, ;La fertilité est-elle en danger ?;;;;2009;;;226 p.;;;;;;;;;
