Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Editeur revue;Volume, Issue, Pages;ISBN;Titre conférence;Commentaire;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;DOI;NNT;Pubmed;Référence;ArXiv;Description;Voir aussi;Réf. HAL;Rang HCERES;Rang CNRS
Menvielle G., Franck J.-E., Radoï L., Sanchez M., Févotte J., Guizard A.-V., Stücker I., Luce D.;2016;;Quantifying the mediating effects of smoking and occupational exposures in the relation between education and lung cancer: the ICARE study;European Journal of Epidemiology;;;;;;;;1-9;;;;;;;;;;;;;;;;;;10.1007/s10654-016-0182-2;;;;;;;;;
Michel D.;2016;;Conformational selection or induced fit? New insights from old principles;Biochimie;;128-129;;;;;;48-54;;;;;;;;;;;;;;;;;;10.1016/j.biochi.2016.06.012;;;;;;;;;
Michel D.;2016;;Modeling generic aspects of ideal fibril formation;Journal of Chemical Physics;;144;3;;;;;035101;;;;;;;;;;;;;;;;;;10.1063/1.4940149;;26801045;;;;;;;
Michel D., Boutin B., Ruelle P.;2016;;The accuracy of biochemical interactions is ensured by endothermic stepwise kinetics;Progress in Biophysics and Molecular Biology;;121;1;;;;;35-44;;;;;;;;;;;;;;;;;;10.1016/j.pbiomolbio.2016.02.001;;;;;;;;;
Monet M., Poet M., Tauzin S., Fouque A., Cophignon A., Lagadic-Gossmann D., Vacher P., Legembre P., Counillon L.;2016;;The cleaved FAS ligand activates the Na+/H+ exchanger NHE1 through Akt/ROCK1 to stimulate cell motility;Scientific Reports;;6;;;;;;28008;;;;;;;;;;;;;;;;;;10.1038/srep28008;;;;;;;;;
Mouden C., Dubourg C., Carré W., Rose S., Quélin C., Akloul L., Viot G., Salhi H., Darnault P., Odent S., Dupé V., David V.;2016;;Complex mode of inheritance in holoprosencephaly revealed by whole exome sequencing;Clinical Genetics;;;;;;;;in press;;;;;;;;;;;;;;;;;;10.1111/cge.12722;;26748417;;;;;;;
Multigner L., Kadhel P., Rouget F., Blanchet P., Cordier S.;2016;;Chlordecone exposure and adverse effects in French West Indies populations;Environmental Science and Pollution Research;;23;1;;;;;3-8;;;;;;;;;;;;;;;;;;10.1007/s11356-015-4621-5;;25940496;;;;;;;
Noel G., Arshad M. I., Filliol A., Genet V., Rauch M., Lucas-Clerc C., Lehuen A., Girard J.-P., Piquet-Pellorce C., Samson M.;2016;;Ablation of interaction between IL-33 and ST2(+) regulatory T cells increases immune cell-mediated hepatitis and activated NK cell liver infiltration;AJP - Gastrointestinal and Liver Physiology;;311;2;;;;;G313-G323;;;;;;;;;;;;;;;;;;10.1152/ajpgi.00097.2016;;27340126;;;;;;;
Padilla C. M., Kihal-Talantikit W., Vieira V. M., Deguen S.;2016;;City-Specific Spatiotemporal Infant and Neonatal Mortality Clusters: Links with Socioeconomic and Air Pollution Spatial Patterns in France;International Journal of Environmental Research and Public Health;;13;6;;;;;624;;;;;;;;;;;;;;;;;;10.3390/ijerph13060624;;;;;;;;;
Padilla C., Kihal-Talantikite W., Perez S., Deguen S.;2016;;Use of geographic indicators of healthcare, environment and socioeconomic factors to characterize environmental health disparities;Environmental Health;;15;79;;;;;;;;;;;;;;;;;;;;;;;10.1186/s12940-016-0163-7;;;;;;;;;
Palierne G., Fabre A., Solinhac R., Le Peron C., Avner S., Lenfant F., Fontaine C., Salbert G., Flouriot G., Arnal J.-F., Métivier R.;2016;;Changes in Gene Expression and Estrogen Receptor Cistrome in Mouse Liver Upon Acute E2 Treatment;Molecular Endocrinology -Baltimore-;;30;7;;;;;709-732;;;;;;;;;;;;;;;;;;10.1210/me.2015-1311;;27164166;;;;;;;
Petit F. G., Deng C., Jamin S. P.;2016;;Partial Mullerian Duct Retention in Smad4 Conditional Mutant Male Mice;International Journal of Biological Sciences;;12;6;;;;;667-676;;;;;;;;;;;;;;;;;;10.7150/ijbs.12300;;;;;;;;;
Pitois F., Vezie C., Thoraval I., Baurès E.;2016;;Improving microcystin monitoring relevance in recreative waters: A regional case-study (Brittany, Western France, Europe);International Journal of Hygiene and Environmental Health;;;;;;;;In press;;;;;;;;;;;;;;;;;;10.1016/j.ijheh.2015.12.004;;26765088;;;;;;;
Poissonnier A., Sanseau D., Le Gallo M., Malleter M., Levoin N., Viel R., Morere L., Penna A., Blanco P., Dupuy A., Poizeau F., Fautrel A., Seneschal J., Jouan F., Ritz J., Forcade E., Rioux N., Contin-Bordes C., Ducret T., Vacher A.-M., Barrow P. A., Flynn R. J., Vacher P., Legembre P.;2016;;CD95-Mediated Calcium Signaling Promotes T Helper 17 Trafficking to Inflamed Organs in Lupus-Prone Mice;Immunity;;45;1;;;;;209-223;;;;;;;;;;;;;;;;;;10.1016/j.immuni.2016.06.028;;27438772;;;;;;;
Pougnet R., Pougnet L., Garlantézec R.;2016;;Comments Regarding Masroor et al: Perceptions and Barriers to Universal Gloving for Infection Prevention;Infection Control and Hospital Epidemiology;;;;;;;;1;;;;;;;;;;;;;;;;;;10.1017/ice.2016.6;;26818822;;;;;;;
Puéchal X., Pagnoux C., Perrodeau E., Hamidou M., Boffa J.-J., Kyndt X., Lifermann F., Papo T., Merrien D., Smail A., Delaval P., Hanrotel-Saliou C., Imbert B., Khouatra C., Lambert M., Leské C., Ly K., Pertuiset E., Roblot P., Ruivard M., Subra J.-F., Viallard J.-F., Terrier B., Cohen P., Mouthon L., Le Jeunne C., Ravaud P., Guillevin L.;2016;;Long-term outcomes of the WEGENT trial on remission-maintenance for granulomatosis with polyangiitis or microscopic polyangiitis;Arthritis & rheumatology;;68;3;;;;;690-701;;;;;;;;;;;;;;;;;;10.1002/art.39450;;26473755;;;;;;;
Rabilloud M.-L., Mallet A.-L., Siproudhis L., Bajeux E., Viel J.-F., Tron I., Bretagne J.-F., Robaszkiewicz M., Bouguen G.;2016;;Natural history of perianal Crohn's disease: long-term follow-up on a population-based cohort;Journal of Crohns & Colitis;;10;;;;;;S175-S176;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rabilloud M.-L., Bretagne J.-F., Bajeux E., Siproudhis L., Viel J.-F., Tron I., Robaszkiewicz M., Bouguen G.;2016;;Long-term outcomes and predictors of disabling disease of a population-based cohort of incident Crohn's disease diagnosed between 1995 and 1997;Journal of Crohns & Colitis;;10;;;;;;S462-S463;;;;;;;;;;;;;;;;;;10.1002/ibd.23004;;;;;;;;;
Rabilloud M.-L., Bretagne J.-F., Bajeux E., Siproudhis L., Viel J.-F., Tron I., Bouguen G.;2016;;Predictive factors of surgery and bowel damage during the course of Crohn's disease: A population-based study;Journal of Crohns & Colitis;;10;;;;;;S192-S192;;;;;;;;;;;;;;;;;;;;;;;;;;;
Raffy G., Mercier F., Blanchard O., Derbez M., Dassonville C., Bonvallot N., Glorennec P., Le Bot B.;2016;;Semi-volatile organic compounds in the air and dust of 30 French schools: a pilot study;Indoor Air;;;;;;;;in press;;;;;;;;;;;;;;;;;;10.1111/ina.12288;;26880519;;;;;;;
Ravel C., Kazdar N., Drapier H., Duros S., Viard P.;2016;;Aide à l’activation ovocytaire : Un nouvel atout dans le traitement des infertilités masculines sévères [Assisted oocyte activation: a new tool for severe male factor infertility treatment];Médecine Sciences: M/S;;32;2;;;;;198-203;;;;;;;;;;;;;;;;;;10.1051/medsci/20163202014;;26936178;;;;;;;
Redaelli M., Bonvallot N., Clin-Godard B., Debert C., Garçon G., Goriaux M., Langlois E., Le Moual N., Mullot J.-U., Noack Y., Paillat A., Thaon I., Thiault G., Baeza-Squiban A.;2016;;Pollution de l’air des enceintes ferroviaires souterraines et risques sanitaires chez les travailleurs;Archives des Maladies Professionnelles et de L'Environnement;;77;3;;;;;548;;;;;;;;;;;;;;;;;;10.1016/j.admp.2016.03.448;;;;;;;;;
Revest M., Egmann G., Chapron A., Jouneau S., Tattevin P.;2016;;Adjuvant corticosteroids for patients hospitalized with community-acquired pneumonia: is it time?;Journal of Thoracic Disease;;8;5;;;;;E288-291;;;;;;;;;;;;;;;;;;10.21037/jtd.2016.03.34;;27162684;;;;;;;
Revest M., Jacqueline C., Boudjemaa R., Caillon J., Le Mabecque V., Breteche A., Steenkeste K., Tattevin P., Potel G., Michelet C., Fontaine-Aupart M. P., Boutoille D.;2016;;New in vitro and in vivo models to evaluate antibiotic efficacy in Staphylococcus aureus prosthetic vascular graft infection;Journal of Antimicrobial Chemotherapy;;71;5;;;;;1291-1299;;;;;;;;;;;;;;;;;;10.1093/jac/dkv496;;26851611;;;;;;;
Rognon B., Barrera C., Monod M., Valot B., Roussel S., Quadroni M., Jouneau S., Court-Fortune I., Caillaud D., Fellrath J.-M., Dalphin J.-C., Reboux G., Millon L.;2016;;Identification of antigenic proteins from lichtheimia corymbifera for farmer's lung disease diagnosis;PLoS ONE;;11;;;;;;e0160888;;;;;;;;;;;;;;;;;;10.1371/journal.pone.0160888;;;;;;;;;
Roquelaure Y.;2016;;Promoting a shared representation of workers’ activities to improve integrated prevention of work-related musculoskeletal disorders;Safety and Health at Work;;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.shaw.2016.02.001;;;;;;;;;
Rosenmai A., Taxvig C., Svingen T., Trier X., Vugt-Lussenburg B., Pedersen M., Lesné L., Jégou B., Vinggaard A.;2016;;Fluorinated alkyl substances and technical mixtures used in food paper-packaging exhibit endocrine-related activity in vitro;Andrology;;4;;;;;;662-672;;;;;;;;;;;;;;;;;;10.1111/andr.12190;;27152447;;;;;;;
Sakanyan V., Hulin P., Sousa R., Silva V. A. O., Hambardzumyan A., Nedellec S., Tomasoni C., Logé C., Pineau C., Roussakis C., Fleury F., Artaud I.;2016;;Activation of EGFR by small compounds through coupling the generation of hydrogen peroxide to stable dimerization of Cu/Zn SOD1;Scientific Reports;;6;;;;;;21088;;;;;;;;;;;;;;;;;;10.1038/srep21088;;26883293;;;;;;;
Sallou O., Duek P. D., Darde T. A., Collin O., Lane L., Chalmel F.;2016;;PepPSy: a web server to prioritize gene products in experimental and biocuration workflows;DATABASE;;;;;;;;baw070;;;;;;;;;;;;;;;;;;10.1093/database/baw070;;;;;;;;;
Salé A., Thépault F., Labalette M., Kerjouan M., De Latour B., Desrues B., Jouneau S.;2016;;First episode of primary spontaneous pneumothorax: Who and how to treat?;Reanimation;;25;1;;;;;101-106;;;;;;;;;;;;;;;;;;10.1007/s13546-015-1156-1;;;;;;;;;
Sayyed K., Le Vee M., Abdel-Razzak Z., Jouan E., Stieger B., Denizot C., Parmentier Y., Fardel O.;2016;;Alteration of human hepatic drug transporter activity and expression by cigarette smoke condensate;Toxicology;;363-364;;;;;;58-71;;;;;;;;;;;;;;;;;;10.1016/j.tox.2016.07.011;;;;;;;;;
Schmitt P., Dalar L., Jouneau S., Toublanc B., Camuset J., Chatte G., Cellerin L., Dutau H., Sanchez S., Sauvage M., Vergnon J.-M., Dury S., Deslée G., Lebargy F.;2016;;Respiratory Conditions Associated with Tracheobronchomegaly (Mounier-Kuhn Syndrome): A Study of Seventeen Cases;Respiration;;91;4;;;;;281-287;;;;;;;;;;;;;;;;;;10.1159/000445029;;;;;;;;;
Smagulova F., Brick K., Pu Y., Camerini-Otero R. D., Petukhova G. V.;2016;;The evolutionary turnover of recombination hot spots contributes to speciation in mice;Genes and Development;;30;3;;;;;266-280;;;;;;;;;;;;;;;;;;10.1101/gad.270009.115;;26833728;;;;;;;
Tabet E., Genet V., Tiaho F., Lucas-Clerc C., Gelu-Simeon M., Piquet-Pellorce C., Samson M.;2016;;Chlordecone potentiates hepatic fibrosis in chronic liver injury induced by carbon tetrachloride in mice;Toxicology Letters;;255;;;;;;1-10;;;;;;;;;;;;;;;;;;10.1016/j.toxlet.2016.02.005;;26853152;;;;;;;
Tattevin P., Lagathu G., Revest M., Michelet C.;2016;;Les fièvres hémorragiques virales;Revue Francophone des Laboratoires;;2016;480;;;;;71-80;;;;;;;;;;;;;;;;;;10.1016/S1773-035X(16)30091-0;;;;;;;;;
Tazi A., Margerie-Mellon C., Vercellino L., Naccache J. M., Fry S., Dominique S., Jouneau S., Lorillon G., Bugnet E., Chiron R., Wallaert B., Valeyre D., Chevret S.;2016;;Extrathoracic investigation in adult patients with isolated pulmonary langerhans cell histiocytosis;Orphanet Journal of Rare Diseases;;11;;;;;;11;;;;;;;;;;;;;;;;;;10.1186/s13023-016-0387-1;;;;;;;;;
Thépault F., Lamy T., Le Guen Y., Meunier C., Delaval P., Jouneau S.;2016;;Fibrose pulmonaire idiopathique et syndrome myélodysplasique : soins palliatifs ?;Revue des Maladies Respiratoires;;33;5;;;;;416-417;;;;;;;;;;;;;;;;;;10.1016/j.rmr.2016.04.018;;;;;;;;;
Usman M., Farooq M.;2016;;Migratory birds need coordinated protection;Science (New York, N.Y.);;351;6276;;;;;926-927;;;;;;;;;;;;;;;;;;10.1126/science.351.6276.926-b;;26917759;;;;;;;
Veilleux É., Lafontaine Y., Thomas O.;2016;;UV spectrophotometry for monitoring the performance of a yeast-based deoxygenation process to treat ships' ballast water;Environmental Monitoring and Assessment;;188;4;;;;;207;;;;;;;;;;;;;;;;;;10.1007/s10661-016-5209-3;;26944435;;;;;;;
Wahida K.-T., Padilla C. M., Denis Z.-N., Olivier B., Géraldine L. N., Philippe Q., Séverine D.;2016;;A Conceptual Framework for the Assessment of Cumulative Exposure to Air Pollution at a Fine Spatial Scale;International Journal of Environmental Research and Public Health;;13;3;;;;;;;;;;;;;;;;;;;;;;;10.3390/ijerph13030319;;26999170;;;;;;;
Wei W., Mandin C., Blanchard O., Mercier F., Pelletier M., Le Bot B., Glorennec P., Ramalho O.;2016;;Distributions of the particle/gas and dust/gas partition coefficients for seventy-two semi-volatile organic compounds in indoor environment;Chemosphere;;153;;;;;;212-219;;;;;;;;;;;;;;;;;;10.1016/j.chemosphere.2016.03.007;;;;;;;;;
Wei W., Mandin C., Blanchard O., Mercier F., Pelletier M., Le Bot B., Glorennec P., Ramalho O.;2016;;Temperature dependence of the particle/gas partition coefficient: An application to predict indoor gas-phase concentrations of semi-volatile organic compounds;Science of the Total Environment;;563–564;;;;;;506-512;;;;;;;;;;;;;;;;;;10.1016/j.scitotenv.2016.04.106;;;;;;;;;
Xie B., Horecka J., Chu A., Davis R., Becker E., Primig M.;2016;;Ndt80 activates the meiotic ORC1 transcript isoform and SMA2 via a bi-directional middle sporulation element in Saccharomyces cerevisiae;RNA Biology;;13;;;;;;772-782;;;;;;;;;;;;;;;;;;10.1080/15476286.2016.1191738;;;;;;;;;

